Unnamed: 0,guest_email,has_rewards,room_type,amenities_fee,checkin_date,checkout_date,room_rate,billing_address,credit_card_number,Nomor_Alamat,Kota,Negara_Bagian,Kode_Pos
0,dsullivan@example.net,False,BASIC,8.324971454604583,04 Apr 2020,23 Apr 2020,146.83450680620885,"90469 Karla Knolls Apt. 781
Susanberg, NC 28401",5161033759518983,90469 Karla Knolls Apt. 781,Susanberg,NC,28401
1,steven59@example.org,False,BASIC,,27 Jun 2020,16 Aug 2020,185.497813277422,"1080 Ashley Creek Apt. 622
West Amy, NM 25058",4133047413145475690,1080 Ashley Creek Apt. 622,West Amy,NM,25058
2,brandon15@example.net,False,BASIC,22.269157666462288,13 Apr 2020,07 Apr 2020,151.11552809699128,"99923 Anderson Trace Suite 861
North Haley, TX 76565",4977328103788,99923 Anderson Trace Suite 861,North Haley,TX,76565
3,humphreyjennifer@example.net,False,BASIC,25.46864737846664,22 May 2020,08 Jun 2020,182.46803082474815,"9301 John Parkways
Thomasland, OH 61350",3524946844839485,9301 John Parkways,Thomasland,OH,61350
4,joshuabrown@example.net,False,BASIC,19.77831051983809,14 Nov 2019,27 Oct 2019,195.4977430212012,"126 George Tunnel
Duranstad, MS 95176",4446905799576890978,126 George Tunnel,Duranstad,MS,95176
5,moondavid@example.com,False,BASIC,,30 Oct 2020,17 Nov 2020,88.24723172368333,"812 Kimberly Forges
East Brianafurt, AR 16834",4265310195602383,812 Kimberly Forges,East Brianafurt,AR,16834
6,patty61@example.com,False,BASIC,16.670850840520256,07 Oct 2020,30 Aug 2020,83.8,"7999 Sheila Forges Apt. 089
West Briannahaven, MD 08696",30279530784085,7999 Sheila Forges Apt. 089,West Briannahaven,MD,08696
7,michellehill@example.net,False,SUITE,13.991604948316214,01 Sep 2020,28 Aug 2020,204.26698232657492,"79445 Brandon Plains Apt. 024
Port Cynthiaport, NE 08276",2285102384715773,79445 Brandon Plains Apt. 024,Port Cynthiaport,NE,08276
8,loganosborne@example.org,False,BASIC,18.41000823015853,09 Sep 2020,04 Sep 2020,128.38470705810693,"522 Davis Street
New Cole, AZ 17369",3541571714584497,522 Davis Street,New Cole,AZ,17369
9,gkey@example.org,False,BASIC,27.61667671134569,20 Oct 2020,22 Nov 2020,217.61792641541007,"77972 Wendy Lake Apt. 933
Kelseyhaven, WI 35555",676377598427,77972 Wendy Lake Apt. 933,Kelseyhaven,WI,35555
10,maykimberly@example.com,True,BASIC,,11 Sep 2020,26 Aug 2020,265.8850416995537,"51118 Michael Spur Apt. 742
Tamarashire, DE 99731",3592111594414982,51118 Michael Spur Apt. 742,Tamarashire,DE,99731
11,josephknight@example.com,False,BASIC,22.794530757664155,23 Aug 2020,17 Aug 2020,176.66033212482097,"391 Lauren Forest Suite 711
Wardshire, GA 48480",4574626038921,391 Lauren Forest Suite 711,Wardshire,GA,48480
12,nmoses@example.com,False,DELUXE,36.28160067453051,17 Nov 2020,01 Nov 2020,161.32034116461028,"985 William Unions
Edwardville, TX 01442",4646817800502538962,985 William Unions,Edwardville,TX,01442
13,hamptonemma@example.net,True,BASIC,0.0,21 Jun 2020,29 May 2020,114.57487302885735,"704 Acosta Stravenue
Hernandezmouth, CO 97599",2264002136181479,704 Acosta Stravenue,Hernandezmouth,CO,97599
14,paula75@example.org,False,BASIC,24.972812734609025,25 Dec 2020,,139.33379535477368,"67341 Gill Springs Suite 388
Lake Josephshire, UT 92093",348818694390143,67341 Gill Springs Suite 388,Lake Josephshire,UT,92093
15,zmurray@example.com,False,DELUXE,18.782952415589957,27 Jul 2020,13 Sep 2020,161.38475758488354,"37309 Garza Cove Suite 313
West Kennethport, SD 37417",343590529390078,37309 Garza Cove Suite 313,West Kennethport,SD,37417
16,rfletcher@example.net,False,BASIC,27.45763471626933,08 Jul 2020,31 Jul 2020,200.69212827354292,"83607 Morrison Views
Jenniferbury, DE 23988",6011030313305873,83607 Morrison Views,Jenniferbury,DE,23988
17,ruizcameron@example.org,False,BASIC,17.468036439210223,09 Feb 2021,05 Feb 2021,137.70215902896524,"5744 Petersen Causeway Suite 324
South Vanessa, MN 82285",6530016426177590,5744 Petersen Causeway Suite 324,South Vanessa,MN,82285
18,smithsara@example.org,False,SUITE,26.47038423493981,15 Jun 2020,21 Jun 2020,273.1336916047256,"PSC 9486, Box 4682
APO AA 98819",3531337373719044,"PSC 9486, Box 4682",APO AA 98819,,
19,maria62@example.com,False,BASIC,11.31438810905522,20 Jun 2020,24 May 2020,253.6590185788652,"343 Baldwin Rest Apt. 946
East Hollyview, MD 25529",4063896844978,343 Baldwin Rest Apt. 946,East Hollyview,MD,25529
20,edwardstammy@example.com,False,BASIC,,17 Mar 2020,07 Jun 2020,154.42119444294693,"445 Nicole Plaza Apt. 276
Eatonfurt, DC 16419",3584822997257725,445 Nicole Plaza Apt. 276,Eatonfurt,DC,16419
21,catherinemccormick@example.net,False,BASIC,3.3080920687225994,31 May 2020,,86.15056199236305,"90441 Jaime Junctions Apt. 861
New Elizabethview, MA 60325",376430801126546,90441 Jaime Junctions Apt. 861,New Elizabethview,MA,60325
22,jesse07@example.net,False,BASIC,15.279994700459216,01 Dec 2020,,221.23091818199725,"830 Juan Route Suite 296
New Anthony, NC 02145",4037339889329,830 Juan Route Suite 296,New Anthony,NC,02145
23,wendyjohnson@example.org,True,BASIC,15.515925612761931,22 Apr 2020,05 Apr 2020,115.15357598098132,"422 Carrie Skyway
South Amanda, WI 59540",3569823991576069,422 Carrie Skyway,South Amanda,WI,59540
24,omitchell@example.com,False,BASIC,0.0,13 Jul 2020,06 Jul 2020,105.54172766852514,"84686 Corey Springs Suite 956
New Victorialand, WV 58035",4810391941356,84686 Corey Springs Suite 956,New Victorialand,WV,58035
25,westjoseph@example.com,False,BASIC,0.478819202979615,15 Mar 2020,18 Apr 2020,135.05727241277174,"0548 Bray Trace Suite 997
South Nicholasshire, IN 13194",30551556869242,0548 Bray Trace Suite 997,South Nicholasshire,IN,13194
26,jason43@example.org,False,BASIC,38.64954280820987,27 Sep 2020,01 Sep 2020,164.97748326398207,"8101 Patricia Shore Suite 772
New Georgetown, MT 58334",349602870740423,8101 Patricia Shore Suite 772,New Georgetown,MT,58334
27,lancewatkins@example.net,False,BASIC,4.910719504138012,04 Oct 2020,01 Nov 2020,106.30047056888432,"364 Danielle Plaza
South Kim, SD 28878",4205744860231,364 Danielle Plaza,South Kim,SD,28878
28,annesherman@example.org,True,BASIC,24.8594120156558,04 Jul 2020,06 Jul 2020,162.58343037980643,"256 Melissa Mount Suite 854
Barnesborough, TN 76181",345473988199462,256 Melissa Mount Suite 854,Barnesborough,TN,76181
29,kimlance@example.net,False,BASIC,29.9527268971855,30 Jan 2021,11 Feb 2021,128.7627382858759,"7944 Watkins Pass
East Dale, IL 15277",4161418441040,7944 Watkins Pass,East Dale,IL,15277
30,michaelwheeler@example.com,True,BASIC,2.5241870675325746,17 Oct 2019,19 Oct 2019,157.1084669044613,"2440 Wood Creek Apt. 908
Lindabury, TX 03852",180019825720206,2440 Wood Creek Apt. 908,Lindabury,TX,03852
31,randy76@example.com,False,BASIC,7.6287913957045745,30 Jun 2020,30 May 2020,112.15300933512118,"5331 Joseph Port
Lake Zacharyport, IL 67713",3535124304486489,5331 Joseph Port,Lake Zacharyport,IL,67713
32,pschroeder@example.org,False,BASIC,29.64518781059824,13 Jan 2021,14 Dec 2020,130.17486080722355,"2766 Ramirez Viaduct
Walshmouth, MI 06525",4902035177669,2766 Ramirez Viaduct,Walshmouth,MI,06525
33,ariana98@example.org,False,BASIC,0.0,20 Feb 2021,30 Jan 2021,83.8,"2166 Whitney Knoll Apt. 395
East Brian, ME 77217",3506550214739424,2166 Whitney Knoll Apt. 395,East Brian,ME,77217
34,hillcourtney@example.com,True,BASIC,17.9675264952085,05 Mar 2020,25 Feb 2020,182.98662645814255,"79675 Bridges Cove Apt. 006
Joneschester, AK 69005",3584123918086024,79675 Bridges Cove Apt. 006,Joneschester,AK,69005
35,edwinherrera@example.org,False,BASIC,33.22042544265668,30 Dec 2020,11 Feb 2021,202.40154316246804,"94426 Patterson Cove Suite 991
South Kevinville, AZ 32531",3583977398272995,94426 Patterson Cove Suite 991,South Kevinville,AZ,32531
36,nicolasodom@example.net,False,BASIC,27.415787295221627,01 Jun 2020,,197.0155010425939,"28306 Matthew Mountain
North Jose, VA 50492",4286861979439116,28306 Matthew Mountain,North Jose,VA,50492
37,richard66@example.com,False,BASIC,10.858249796642136,27 Mar 2020,23 Mar 2020,203.0479844443185,"PSC 1686, Box 5190
APO AA 86356",4329083901645640,"PSC 1686, Box 5190",APO AA 86356,,
38,james04@example.com,False,BASIC,13.532684411806583,11 Aug 2020,02 Sep 2020,98.49367060926475,"519 April Drives Apt. 355
Lake Frank, MA 48730",4518063110185373,519 April Drives Apt. 355,Lake Frank,MA,48730
39,arianafritz@example.org,False,BASIC,28.81731219405852,12 Nov 2020,09 Oct 2020,83.8,"303 Lucas Forges Suite 796
Williammouth, NJ 21520",4446428671871066,303 Lucas Forges Suite 796,Williammouth,NJ,21520
40,ryan53@example.org,False,DELUXE,24.770611002114013,27 Jul 2020,25 Aug 2020,175.09652546724274,"438 Kent Inlet Apt. 154
Wilsonville, CO 84897",639046647868,438 Kent Inlet Apt. 154,Wilsonville,CO,84897
